"Sexo, según DNI.",¿Qué edad tienes ?,¿Qué carrera estás estudiando actualmente?,¿En qué ciclo te encuentras actualmente ?,"¿Cuánto tiempo estás en la universidad? (Horas promedio por día) Ejemplo: 5 , 6.30. Determina el decimal con punto.",¿Qué lugares prefieres usar dentro de la universidad?,¿Qué ambientes te gustaría que se implementen en el nuevo campus UTEC?,¿Cree usted que se debería de implementar espacios recreativos? ,¿Cuántos lugares recreativos cree que sería conveniente tener la nueva ampliación de la universidad? ,"¿Cuánto tiempo te demoras en encontrar un lugar para estudiar? (Horas promedio por día)  (Determina el decimal con un punto ejemplo: 0.5 ,1 , 3)",Áreas verdes ,Salas de estudio (piso 1 y piso11),Biblioteca,Zonas recreativas,Laboratorios,Cubículos,Áreas verdes,Salas de estudio,Cubículos,Zonas recreativas ,Espacios recreativos,Sala de estudio,Cubículos,Biblioteca
M,20,Ingeniería Ambiental,10,6,Biblioteca,"Áreas verdes, Auditorio, Gimnasio, Comedor con comida rápida, Zonas recreativas",,,0.5,2,3,4,4,5,3,2,2,2,2,1,1,0.5,1
M,24,Ingeniería Civil,10,2,"Sala de Estudios - Piso1, Sala de Estudios - Piso11, Bloques de madera -Piso 6",Comedor con comida rápida,,,1,2,3,1,1,2,1,1,10,10,3,1,1,1,1
M,17,Ingeniería Mecatrónica,3,10,"Aula, Bloques de madera -Piso 6, Áreas verdes","Áreas verdes, Salas de estudio, Gimnasio, Campo deportivo, Comedor con comida rápida, Biblioteca, Zonas recreativas",,,5,3,3,3,3,3,3,5,2,20,4,1,0,0,0
M,18,Ingeniería Civil,2,5,"Biblioteca, Áreas verdes","Aulas, Auditorio",,,2,5,5,5,5,5,5,1,5,5,2,1,1,1,2
F,20,Ingeniería Civil,2,6,Cubículos,"Salas de estudio, Cubículos, Gimnasio, Campo deportivo",,,1,5,5,5,5,5,5,4,2,20,2,0,0,4,0
F,19,Ingeniería Industrial,2,5,Cubículos,"Cubículos, Gimnasio",,,1,2,4,4,4,4,5,2,3,5,2,2,4,5,1
F,19,Ciencias de la Computación,2,8,"Biblioteca, Aula, Cubículos","Cubículos, Gimnasio, Campo deportivo",,,0.25,5,5,5,3,4,5,4,10,5,3,2,3,2,2
M,18,Ingeniería Industrial,3,1.00,Zonas recreativas,Zonas recreativas,,,1,3,3,3,3,3,3,3,3,3,3,0.30,3,1,2
M,19,Ingeniería Mecatrónica,2,5,Aula,"Áreas verdes, Cubículos, Campo deportivo",,,0.5,1,1,2,1,1,3,2,1,8,1,0,0,1,0
M,18,Ingeniería Mecatrónica,2,10,"Biblioteca, Cubículos, Bloques de madera -Piso 6","Áreas verdes, Salas de estudio, Cubículos, Aulas, Gimnasio, Biblioteca",,,0.5,3,1,3,1,5,2,3,2,18,2,1,0,2,2
M,20,Ingeniería Industrial,5,5.30,"Aula, Cubículos, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Aulas, Auditorio, Gimnasio, Campo deportivo, Biblioteca, laboratorios, Zonas recreativas, Comedor",,,1,4,4,4,4,5,5,2,2,10,3,1,1,2,0.5
F,18,Bioingeniería,2,5,"Biblioteca, Cubículos, Sala de Estudios - Piso11","Áreas verdes, Cubículos, Campo deportivo",,,5,2,2,5,3,5,3,2,2,8,2,0,2,2,4
M,17,Ingeniería Civil,3,7,"Sala de Estudios - Piso11, Bloques de madera -Piso 6, Auditorio de la universidad","Auditorio, Gimnasio",,,0.5,3,3,3,4,4,3,5,2,10,5,3,2,1,0.5
F,20,Ingeniería Civil,2,5,Sala de Estudios - Piso11,Áreas verdes,,,1,5,5,5,5,5,5,5,10,10,19,2,2,2,2
M,19,Ingeniería Industrial,2,6,Biblioteca,"Áreas verdes, Biblioteca, Zonas recreativas",,,0.5,3,4,4,4,4,4,2,1,2,2,3,2,1,4
F,19,Ingeniería Industrial,2,12,"Aula, Cubículos, Auditorio de la universidad","Cubículos, Gimnasio, Campo deportivo, Comedor con comida rápida",,,3,3,2,3,2,2,4,4,4,10,5,1,1,3,0
