Año,Mes,Periodo,Infraestructura,Aeropuerto,Tipo de Pasajero,Nro Pasajeros
2019,Julio,201907,COR,Yurimaguas,NACIONAL,"1,330"
2019,Julio,201907,LAP,Lima,INTERNACIONAL,"782,879"
2019,Julio,201907,LAP,Lima,NACIONAL,"1,194,076"
2019,Julio,201907,LAP,Lima,TRANSFERENCIA Y TRANSITO,"150,176"
2019,Agosto,201908,AAP,Arequipa,INTERNACIONAL,"2,002"
2019,Agosto,201908,AAP,Arequipa,NACIONAL,"198,937"
2019,Agosto,201908,AAP,Ayacucho,NACIONAL,"29,879"
2019,Agosto,201908,AAP,Juliaca,INTERNACIONAL,4
2019,Agosto,201908,AAP,Juliaca,NACIONAL,"44,575"
2019,Agosto,201908,AAP,Puerto Maldonado,NACIONAL,"33,606"
2019,Agosto,201908,AAP,Tacna,NACIONAL,"48,521"
2019,Agosto,201908,ADP,Cajamarca,NACIONAL,"51,326"
2019,Agosto,201908,ADP,Chachapoyas,NACIONAL,"2,615"
2019,Agosto,201908,ADP,Chiclayo,INTERNACIONAL,"1,297"
2019,Agosto,201908,ADP,Chiclayo,NACIONAL,"64,771"
2019,Agosto,201908,ADP,Huaraz-Anta,NACIONAL,67
2019,Agosto,201908,ADP,Iquitos,INTERNACIONAL,22
2019,Agosto,201908,ADP,Iquitos,NACIONAL,"120,207"
2019,Agosto,201908,ADP,Pisco,INTERNACIONAL,14
2019,Agosto,201908,ADP,Pisco,NACIONAL,"6,519"
2019,Agosto,201908,ADP,Piura,INTERNACIONAL,62
2019,Agosto,201908,ADP,Piura,NACIONAL,"117,812"
2019,Agosto,201908,ADP,Pucallpa,NACIONAL,"73,081"
2019,Agosto,201908,ADP,Talara,NACIONAL,"26,250"
2019,Agosto,201908,ADP,Tarapoto,NACIONAL,"87,092"
2019,Agosto,201908,ADP,Trujillo,INTERNACIONAL,28
2019,Agosto,201908,ADP,Trujillo,NACIONAL,"58,089"
2019,Agosto,201908,ADP,Tumbes,INTERNACIONAL,8
2019,Agosto,201908,ADP,Tumbes,NACIONAL,"24,699"
2019,Agosto,201908,COR,Andahuaylas,NACIONAL,20
2019,Agosto,201908,COR,Atalaya,NACIONAL,"2,256"
2019,Agosto,201908,COR,Cusco,INTERNACIONAL,"14,516"
2019,Agosto,201908,COR,Cusco,NACIONAL,"374,189"
2019,Agosto,201908,COR,Huánuco,NACIONAL,"5,401"
2019,Agosto,201908,COR,Ilo,NACIONAL,"4,019"
2019,Agosto,201908,COR,Jaén,NACIONAL,"25,598"
2019,Agosto,201908,COR,Jauja,NACIONAL,"20,512"
2019,Agosto,201908,COR,Nazca,NACIONAL,"22,370"
2019,Agosto,201908,COR,Rioja,NACIONAL,15
2019,Agosto,201908,COR,Tingo María,NACIONAL,"2,280"
2019,Agosto,201908,COR,Tocache,NACIONAL,78
2019,Agosto,201908,COR,Yurimaguas,NACIONAL,"1,894"
2019,Agosto,201908,LAP,Lima,INTERNACIONAL,"795,860"
2019,Agosto,201908,LAP,Lima,NACIONAL,"1,277,444"
2019,Agosto,201908,LAP,Lima,TRANSFERENCIA Y TRANSITO,"129,194"
2019,Setiembre,201909,AAP,Arequipa,INTERNACIONAL,"2,159"
2019,Setiembre,201909,AAP,Arequipa,NACIONAL,"189,076"
2019,Setiembre,201909,AAP,Ayacucho,NACIONAL,"26,708"
2019,Setiembre,201909,AAP,Juliaca,NACIONAL,"40,503"
2019,Setiembre,201909,AAP,Puerto Maldonado,NACIONAL,"30,777"
2019,Setiembre,201909,AAP,Tacna,NACIONAL,"42,452"
2019,Setiembre,201909,ADP,Cajamarca,NACIONAL,"47,051"
2019,Setiembre,201909,ADP,Chachapoyas,NACIONAL,"2,130"
2019,Setiembre,201909,ADP,Chiclayo,INTERNACIONAL,"1,054"
2019,Setiembre,201909,ADP,Chiclayo,NACIONAL,"58,571"
2019,Setiembre,201909,ADP,Huaraz-Anta,NACIONAL,20
2019,Setiembre,201909,ADP,Iquitos,INTERNACIONAL,4
2019,Setiembre,201909,ADP,Iquitos,NACIONAL,"100,643"
2019,Setiembre,201909,ADP,Pisco,INTERNACIONAL,8
2019,Setiembre,201909,ADP,Pisco,NACIONAL,"6,985"
2019,Setiembre,201909,ADP,Piura,INTERNACIONAL,60
2019,Setiembre,201909,ADP,Piura,NACIONAL,"106,611"
2019,Setiembre,201909,ADP,Pucallpa,INTERNACIONAL,6
2019,Setiembre,201909,ADP,Pucallpa,NACIONAL,"62,308"
2019,Setiembre,201909,ADP,Talara,INTERNACIONAL,8
2019,Setiembre,201909,ADP,Talara,NACIONAL,"20,811"
2019,Setiembre,201909,ADP,Tarapoto,NACIONAL,"82,539"
2019,Setiembre,201909,ADP,Trujillo,INTERNACIONAL,16
2019,Setiembre,201909,ADP,Trujillo,NACIONAL,"52,243"
2019,Setiembre,201909,ADP,Tumbes,INTERNACIONAL,12
2019,Setiembre,201909,ADP,Tumbes,NACIONAL,"21,244"
2019,Setiembre,201909,COR,Atalaya,NACIONAL,"1,948"
2019,Setiembre,201909,COR,Chimbote,INTERNACIONAL,"12,313"
2019,Setiembre,201909,COR,Chimbote,NACIONAL,"336,218"
2019,Setiembre,201909,COR,Huánuco,NACIONAL,"4,731"
2019,Setiembre,201909,COR,Ilo,NACIONAL,"2,716"
2019,Setiembre,201909,COR,Jaén,NACIONAL,"22,159"
2019,Setiembre,201909,COR,Jauja,NACIONAL,"19,726"
2019,Setiembre,201909,COR,Nazca,NACIONAL,"18,452"
2019,Setiembre,201909,COR,Rioja,NACIONAL,8
2019,Setiembre,201909,COR,Tingo María,NACIONAL,"2,054"
2019,Setiembre,201909,COR,Tocache,NACIONAL,48
2019,Setiembre,201909,COR,Yurimaguas,NACIONAL,"1,578"
2019,Setiembre,201909,LAP,Lima,INTERNACIONAL,"700,110"
2019,Setiembre,201909,LAP,Lima,NACIONAL,"1,167,610"
2019,Setiembre,201909,LAP,Lima,TRANSFERENCIA Y TRANSITO,"134,616"
2019,Octubre,201910,AAP,Arequipa,INTERNACIONAL,"1,750"
2019,Octubre,201910,AAP,Arequipa,NACIONAL,"165,970"
2019,Octubre,201910,AAP,Ayacucho,NACIONAL,"26,199"
2019,Octubre,201910,AAP,Juliaca,NACIONAL,"42,880"
2019,Octubre,201910,AAP,Puerto Maldonado,NACIONAL,"33,381"
2019,Octubre,201910,AAP,Tacna,INTERNACIONAL,2
2019,Octubre,201910,AAP,Tacna,NACIONAL,"38,463"
2019,Octubre,201910,ADP,Cajamarca,NACIONAL,"49,010"
2019,Octubre,201910,ADP,Chachapoyas,NACIONAL,"2,235"
2019,Octubre,201910,ADP,Chiclayo,INTERNACIONAL,"1,310"
2019,Octubre,201910,ADP,Chiclayo,NACIONAL,"60,344"
2019,Octubre,201910,ADP,Huaraz-Anta,INTERNACIONAL,10
2019,Octubre,201910,ADP,Huaraz-Anta,NACIONAL,31
2019,Octubre,201910,ADP,Iquitos,INTERNACIONAL,16
2019,Octubre,201910,ADP,Iquitos,NACIONAL,"100,949"
2019,Octubre,201910,ADP,Pisco,INTERNACIONAL,19
2019,Octubre,201910,ADP,Pisco,NACIONAL,"6,931"
2019,Octubre,201910,ADP,Piura,INTERNACIONAL,4
2019,Octubre,201910,ADP,Piura,NACIONAL,"101,308"
2019,Octubre,201910,ADP,Pucallpa,NACIONAL,"59,893"
2019,Octubre,201910,ADP,Talara,NACIONAL,"22,034"
2019,Octubre,201910,ADP,Tarapoto,NACIONAL,"80,339"
2019,Octubre,201910,ADP,Trujillo,INTERNACIONAL,4
2019,Octubre,201910,ADP,Trujillo,NACIONAL,"56,357"
2019,Octubre,201910,ADP,Tumbes,INTERNACIONAL,20
2019,Octubre,201910,ADP,Tumbes,NACIONAL,"23,386"
2019,Octubre,201910,COR,Atalaya,NACIONAL,"2,076"
2019,Octubre,201910,COR,Chimbote,INTERNACIONAL,"13,278"
2019,Octubre,201910,COR,Chimbote,NACIONAL,"335,384"
2019,Octubre,201910,COR,Huánuco,NACIONAL,"4,501"
2019,Octubre,201910,COR,Ilo,NACIONAL,"2,815"
2019,Octubre,201910,COR,Jaén,NACIONAL,"23,162"
2019,Octubre,201910,COR,Jauja,NACIONAL,"16,526"
2019,Octubre,201910,COR,Mazamari,NACIONAL,16
2019,Octubre,201910,COR,Nazca,NACIONAL,"18,614"
