Ciclo,Edad,Sexo,Sociable_Antes,Sociable_despues,Manera_socializar,Mejor_desenvolvimiento,Personalidad_antes,Amigos_totales,Cantidad_redes_sociales,Amigos_whassap,Amigos_telegram,Dialogo_amigos_presencial,Redes_sociales_1a5,Dialogo_amigos_virtual,Tiempo_telegram,Tiempo_whatsapp,Tiempo_instagram,Tiempo_facebook,Seguidores_instagram,Contactos_amigos,amigo_facebook,cantidad_grupo_sercano
6,18,Mujer,1.Poco_Sociable,1.Poco_Sociable,Virtual,Reunión de zoom,Introvertida,35,18,5,0,10,Necesario,0.5,0,0.167,0,0.333,1,5,65,5
2,18,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,40,18,7,3,1,Necesario,2,1,2.5,1,0.5,20,25,40,5
2,18,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,3,18,4,0,3,Necesario,1.333,0,8,0,0,120,10,50,4
2,18,Mujer,2.Sociable,1.Poco_Sociable,Presencial,Salón de clases,Extrovertida,30,18,15,3,6,Muy necesario,5,2,8,6,5,30,20,50,10
2,18,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,6,18,5,1,12,Necesario,5,1,5,0,1,21,10,12,3
2,18,Varon,1.Poco_Sociable,2.Sociable,Virtual,Salón de clases,Introvertida,25,18,5,0,1,Poco necesario,7,1,6,0,2,10,116,10,15
2,18,Mujer,3.Muy_sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,2000,18,400,0,10,Poco necesario,15,0,15,3,3,938,507,20,5
4,18,Mujer,1.Poco_Sociable,1.Poco_Sociable,Virtual,Reunión de zoom,Extrovertida,4,18,4,0,15,Muy necesario,2,0.083,0.5,0.5,1,20,40,50,4
2,18,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,10,18,4,0,1,Poco necesario,1.5,0,2,0.167,0.5,1,10,4,3
2,17,Varon,1.Poco_Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,15,17,4,0,5,Necesario,21,0,1,0,2,1,20,30,3
2,17,Mujer,1.Poco_Sociable,1.Poco_Sociable,Presencial,Reunión de zoom,Introvertida,4,17,5,3,2,Necesario,1,0,7,0.5,0.667,8,60,27,2
3,18,Mujer,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,30,18,5,4,2,Necesario,3.5,1.333,1.333,2,0,223,101,12,7
2,18,Varon,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Introvertida,100,18,10,0,1,Necesario,1.333,0,2,2,2,1,50,47,50
2,18,Varon,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,50,18,15,0,9,Totalmente necesario,2,0,10.167,0,1,10,200,25,10
1,17,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,2,17,3,0,4,Muy necesario,1,0,8,1,5,100,200,30,1
4,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,10,18,3,0,2,Muy necesario,1,0,1,0.25,0,58,327,46,10
4,18,Mujer,2.Sociable,2.Sociable,Virtual,Reunión de zoom,Introvertida,9,18,10,0,4,Poco necesario,4,0,2,0,1.5,200,120,47,4
3,17,Varon,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,2,17,3,1,8,Totalmente necesario,5.5,0,12,0,0,1,20,40,3
3,18,Mujer,2.Sociable,1.Poco_Sociable,Presencial,Salón de clases,Extrovertida,17,18,8,0,32,Totalmente necesario,0,0,3.367,15.5,0,1300,500,1,14
4,18,Mujer,1.Poco_Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,32,18,13,0,54,Muy necesario,5,0,5,0,0,114,50,1,14
4,19,Varon,1.Poco_Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,5,19,6,0,5,Necesario,5,0,10,0,20,300,30,30,5
2,18,Mujer,3.Muy_sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,10,18,6,0,45,Muy necesario,4.017,0,7,1,2,600,217,18,5
2,18,Varon,2.Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,3,18,6,0,4,Necesario,3.067,0,9.133,0,0,1,14,16,3
7,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,600,18,10,2,14,Necesario,4,0.333,1,0.5,0.5,80,50,70,30
3,18,Varon,1.Poco_Sociable,1.Poco_Sociable,Presencial,Salón de clases,Extrovertida,10,18,3,2,1,Poco necesario,2,0.5,8,2,1.833,21,34,36,3
2,19,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,15,19,25,5,24,Muy necesario,8.667,2,12,4,6,630,89,17,5
2,18,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,5,18,5,0,5,Muy necesario,2,0,12,0,2,23,154,15,5
2,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,10,18,8,0,30,Muy necesario,8,0,5,0.5,0.5,18,35,20,8
3,18,Mujer,2.Sociable,2.Sociable,Virtual,Salón de clases,Extrovertida,21,18,4,1,10,Poco necesario,7,1,15,5,8,70,120,70,4
2,18,Mujer,2.Sociable,2.Sociable,Virtual,Reunión de zoom,Introvertida,5,18,3,0,60,Totalmente necesario,8,0,6,0,2,1,15,30,3
10,18,Mujer,1.Poco_Sociable,3.Muy_sociable,Presencial,Salón de clases,Introvertida,30,18,3,0,50,Totalmente necesario,0.75,0,3,0.5,0.75,40,30,10,3
2,18,Mujer,2.Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,59,18,7,3,9,Totalmente necesario,9,2,5,1,2,18,159,30,8
2,18,Varon,2.Sociable,1.Poco_Sociable,Virtual,Reunión de zoom,Introvertida,6,18,5,1,3,Muy necesario,2.5,1.667,4.083,1,2,9,19,20,6
4,18,Varon,2.Sociable,2.Sociable,Virtual,Salón de clases,Introvertida,20,18,12,123,11,Nada necesario,12.55,12.067,1.133,12.567,12.567,22,1334,12,12
4,18,Varon,2.Sociable,2.Sociable,Presencial,Reunión de zoom,Extrovertida,5,18,1,1,1,Totalmente necesario,2,1,4,0,5,5,40,42,4
2,17,Varon,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Introvertida,8,17,20,4,5,Necesario,1.15,0,8.6,0,2,123,128,43,3
4,19,Varon,1.Poco_Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,25,19,8,0,3,Necesario,1,0.083,2.5,1,0.167,62,25,11,10
1,17,Varon,2.Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,30,17,10,0,7,Muy necesario,3,0,3,0.5,0.5,16,30,96,5
2,17,Mujer,2.Sociable,2.Sociable,Presencial,Reunión de zoom,Extrovertida,13,17,8,1,5,Poco necesario,0,1,12.833,3,0.5,92,300,15,7
2,18,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,8,18,5,2,5,Muy necesario,5,1,6,1,2,190,24,12,5
10,19,Varon,1.Poco_Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,3,19,2,0,0,Muy necesario,0.05,0,0.033,0,0,1,123,15,3
4,18,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,6,18,6,3,20,Muy necesario,2.333,1,11,1,1,2,20,21,4
4,18,Varon,3.Muy_sociable,1.Poco_Sociable,Presencial,Salón de clases,Extrovertida,8,18,3,0,2,Necesario,2.5,0.333,1,0.5,1,395,60,70,4
4,18,Varon,2.Sociable,2.Sociable,Virtual,Salón de clases,Extrovertida,1,18,2,0,4,Necesario,3,0,6.033,2,1,80,400,50,3
2,18,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,20,18,9,0,30,Muy necesario,12,1,10,5,1,441,60,40,4
4,18,Mujer,2.Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,150,18,10,0,30,Muy necesario,7,0.167,3,0.167,1,50,100,42,10
1,18,Varon,3.Muy_sociable,2.Sociable,Presencial,Salón de clases,Introvertida,15,18,7,0,13,Necesario,10,0,2,0,1,1,18,30,10
3,18,Mujer,1.Poco_Sociable,1.Poco_Sociable,Presencial,Salón de clases,Extrovertida,6,18,3,0,2,Muy necesario,0,0,5,5,2,395,5,60,3
2,17,Otro,1.Poco_Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,10,17,6,0,10,Muy necesario,3,0,3,0,1,43,10,15,6
8,20,Varon,3.Muy_sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,500,20,30,10,2,Muy necesario,10,3,8,2,5,500,150,30,10
7,18,Varon,1.Poco_Sociable,2.Sociable,Virtual,Reunión de zoom,Introvertida,14,18,3,0,16,Poco necesario,14,0,15,10,4,200,89,96,5
2,18,Mujer,3.Muy_sociable,3.Muy_sociable,Presencial,Reunión de zoom,Extrovertida,101,18,5,2,50,Necesario,3,2,1,1,6,208,356,30,5
2,18,Mujer,2.Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,20,18,10,10,4,Muy necesario,2,0,2.5,0.5,1,300,80,25,3
4,18,Mujer,3.Muy_sociable,1.Poco_Sociable,Virtual,Salón de clases,Extrovertida,10,18,2,0,21,Poco necesario,9,0,3,5,1,82,70,10,5
7,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,10,18,2,0,21,Necesario,7,0,2,1,0.5,110,20,70,8
4,18,Mujer,2.Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,10,18,10,2,1,Necesario,3,2,8,5,2,905,200,20,10
2,18,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Reunión de zoom,Extrovertida,11,18,6,0,8,Necesario,2.5,2.5,2.5,1.833,2.75,45,56,12,2
3,18,Varon,3.Muy_sociable,2.Sociable,Virtual,Salón de clases,Extrovertida,8,18,8,0,5,Necesario,2,0,2,1,5,150,180,20,1
3,16,Varon,3.Muy_sociable,2.Sociable,Virtual,Reunión de zoom,Extrovertida,3,16,11,0,5,Necesario,9.183,14.183,4.533,9.183,9.717,1,1000,30,87
2,18,Mujer,3.Muy_sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,15,18,1,0,2,Muy necesario,5.467,0,3.133,0,1,1,100,89,4
1,17,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,150,17,15,3,12,Necesario,15,0.5,9,3,2,758,256,13,20
5,18,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,10,18,3,6,7,Muy necesario,5,0.5,12,6,1.5,909,250,23,5
3,18,Varon,2.Sociable,1.Poco_Sociable,Presencial,Reunión de zoom,Introvertida,3,18,1,0,20,Poco necesario,4,0,0.667,3,0,235,10,60,2
5,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,10,18,2,0,6,Muy necesario,0.5,0.083,1.833,1,0.333,232,50,20,2
3,18,Mujer,3.Muy_sociable,2.Sociable,Virtual,Salón de clases,Extrovertida,10,18,3,0,12,Muy necesario,12,0,2.5,0.25,0.25,166,270,55,4
2,18,Mujer,3.Muy_sociable,3.Muy_sociable,Presencial,Salón de clases,Introvertida,25,18,8,0,3,Poco necesario,1.5,0,10,3,0.5,10,100,82,6
5,19,Mujer,2.Sociable,2.Sociable,Presencial,Reunión de zoom,Extrovertida,20,19,20,5,20,Necesario,4,0.5,4,4,2,530,50,83,5
5,18,Varon,3.Muy_sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,169,18,12,0,5,Muy necesario,5.067,0,8,2,0,98,250,15,5
3,18,Mujer,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,30,18,5,2,12,Necesario,5.5,1.75,7.5,8.5,0,50,21,1,12
1,18,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,7,18,6,2,2,Muy necesario,1,3.5,2.5,2.5,3.5,148,75,8,3
