GENERO,CARRERA,DISPOSITIVO,APLICACIONES,MARCA,ÁREA,MAXNOTA,ORDENM,CICLO,SATISFACCIÓN,FRECUENCIA,CANAPLI,CANTDISPOSITIVOS,MINUTOS,CURSOS,COSTO,PROMEDIO,DÍAS
MASCULINO,Ingeniería Mecatrónica,Smartphone,MatLab,Apple,Ciencias Generales,16,Medio superior,Quinto,Regular,Regular,4,2,200,4,3500,14.56,6
MASCULINO,Ingeniería Civil,Smartphone,AutoCAD,"HP, Apple",Ciencias Generales,20,Ninguno de los anteriores,Sexto,Mucho,Regular,8,3,300,5,6000,15.4,6
MASCULINO,Administración & Negocios Digitales,Laptop,CLion,"Lenovo, Samsung, Xiaomi",Ciencias Generales,16,Medio superior,Tercero,Regular,Poco,3,4,200,6,4000,14,6
FEMENINO,Ingeniería Civil,Smartphone,Word,"HP, Xiaomi",Ciencias Generales,15,Quinto superior,Cuarto,Poco,Poco,6,2,240,6,4200,14,7
MASCULINO,Ingeniería Química,Smartphone,Pycharm,HP,Cursos de carrera,19,Quinto superior,Cuarto,Poco,Poco,4,2,240,6,2100,15.95,7
MASCULINO,Ingeniería de la Energía,Smartphone,Canva,"HP, Xiaomi","Humanidades, Arte y Ciencias sociales(HACS)",19,Tercio superior,Cuarto,Regular,Mucho,5,3,480,5,1000,14,6
MASCULINO,Ingeniería Civil,Laptop,Power point,Acer,Cursos de carrera,17,Quinto superior,Cuarto,Regular,Regular,4,3,480,6,1400,17,7
FEMENINO,Ingeniería Industrial,Smartphone,Canva,"Asus, Samsung, Xiaomi",Cursos de carrera,20,Decimo superior,Septimo,Mucho,Mucho,6,3,240,7,2500,17,7
MASCULINO,Ingeniería Civil,Smartphone,Rstudio,Acer,Ciencias Generales,17,Tercio superior,Cuarto,Mucho,Regular,6,2,480,6,3220,15.42,4
FEMENINO,Ingeniería Civil,Smartphone,One Note,"Samsung, Xiaomi",Ciencias Generales,15,Medio superior,Cuarto,Regular,Mucho,7,3,300,6,700,13,7
MASCULINO,Bioingeniería,Smartphone,Khan Academy,"HP, Samsung",Ciencias Generales,15.7,Quinto superior,Tercero,Poco,Poco,3,2,100,7,1800,14.6,2
MASCULINO,Ingeniería Mecatrónica,Smartphone,Canva,HP,Ciencias Generales,15.35,Quinto superior,Segundo,Regular,Mucho,3,2,240,7,5000,15,6
MASCULINO,Bioingeniería,Laptop,MatLab,"HP, Apple",Ciencias Generales,18,Quinto superior,Tercero,Mucho,Regular,2,2,180,1,3000,17,3
FEMENINO,Ingeniería Ambiental,Smartphone,Canva,"HP, Xiaomi",Ciencias Generales,17,Medio superior,Tercero,Regular,Regular,3,3,360,5,5000,15,7
MASCULINO,Ingeniería Civil,Laptop,MatLab,Lenovo,Ciencias Generales,19,Decimo superior,Tercero,Regular,Mucho,5,3,360,6,6000,12,7
MASCULINO,Ingeniería Mecatrónica,Laptop,Excel,"HP, Xiaomi",Ciencias Generales,15,Ninguno de los anteriores,Tercero,Mucho,Mucho,1,2,360,4,2000,14.5,5
FEMENINO,Ingeniería Química,Laptop,Word,Lenovo,Cursos de carrera,18,Medio superior,Cuarto,Mucho,Mucho,8,4,480,6,4000,15.6,7
FEMENINO,Ingeniería Civil,Laptop,AutoCAD,"HP, Samsung",Cursos de carrera,20,Quinto superior,Segundo,Regular,Regular,5,5,500,7,4000,16,7
MASCULINO,Ciencia de Datos,Laptop,Pycharm,Dell,Cursos de gestión,20,Tercio superior,Primero,Regular,Mucho,4,2,300,1,3500,16,6
