Código del Alumno,Edad,Sexo ,Ciclo,Carrera,Precio del Celular aproximado ,Modelo del Celular ,Almacenamiento del Celular (GB),Sistema Operativo ,Cámaras totales,Calidad de la cámara principal,Tiempo de carga del Celular,Duración de la batería,Satisfacción de tu celular 
202120310,18,Femenino,2,Ingeniería Industrial,1000,Xiaomi,16,Android,4,64,60,360,5
202120190,17,Femenino,2,Bioingeniera,600,ZTE,32,Android,3,16,150,360,4
202120611,18,Femenino,2,Ingeniería Química,600,Xiaomi,32,Android,2,8,60,1440,3
202120193,19,Femenino,2,Ingeniería Industrial,1200,Samsung,32,Android,2,12,120,480,4
202120208,19,Femenino,2,Ingeniería Civil,600,Huawei,32,Android,2,13,100,480,4
202120199,19,Masculino,2,Ingeniería Civil,1000,Motorola ,128,Android,3,64,60,420,5
201810125,20,Masculino,6,Ingeniería Mecatrónica,1300,Xiaomi,128,Android,4,108,60,600,4
202120160,21,Masculino,2,Bioingeniera,400,Motorola ,32,Android,4,13,120,2880,5
202110196,18,Masculino,3,Ingeniería Mecatrónica,1000,Xiaomi,128,Android,4,48,60,300,4
202120571,19,Femenino,2,Ingeniería Ambiental,450,Xiaomi,64,Android,5,64,150,420,3
202110441,18,Masculino,3,Ciencias de la Computación,1200,Motorola ,64,Android,4,16,120,360,4
202120204,18,Femenino,2,Ingeniería Civil,700,Huawei,64,Android,4,16,120,720,4
202120543,18,Masculino,2,Ingeniería Civil,900,Huawei,128,Android,3,32,60,480,5
201920022,20,Masculino,6,Ciencias de la Computación,500,Samsung,32,Android,3,32,180,360,3
202010326,20,Masculino,5,Ciencias de la Computación,1399,Apple,64,IOS ( Apple ),2,12,180,360,4
202120547,18,Femenino,2,Ingeniería Ambiental,600,Samsung,32,Android,2,16,300,420,3
202110647,19,Masculino,3,Ingeniería Industrial,560,Huawei,64,Android,3,64,120,240,5
202010188,18,Femenino,5,Ingeniería Civil,2000,Samsung,128,Android,5,64,120,180,5
202120450,20,Femenino,2,Ingeniería Química,1200,Samsung,128,Android,5,64,150,640,5
202110628,19,Femenino,3,Ingeniería Industrial,800,Samsung,64,Android,3,32,60,150,4
201910250,19,Femenino,7,Ingeniería Electrónica,500,Motorola ,32,Android,3,32,120,1800,4
202110777,17,Femenino,3,Ingeniería Química,500,ZTE,64,Android,4,32,60,720,3
202110437,17,Masculino,3,Ingeniería Civil,1059,Samsung,128,Android,5,48,150,180,4
202120277,18,Masculino,2,Ingeniería Civil,650,Samsung,32,Android,2,16,120,240,4
202110586,19,Masculino,3,Bioingeniera,900,Samsung,64,Android,4,16,150,360,4
202110779,19,Masculino,3,Ingeniería Industrial,500,Samsung,64,Android,3,32,110,180,4
202110566,19,Masculino,3,Ingeniería Ambiental,1200,Samsung,64,Android,4,64,40,150,4
202210220,17,Masculino,1,Ingeniería Civil,1000,Xiaomi,128,Android,5,48,60,720,4
201820146,21,Femenino,8,Ingeniería Ambiental,3000,Apple,128,IOS ( Apple ),2,12,45,600,5
202120127,18,Femenino,2,Ingeniería de la Energía,800,Huawei,32,Android,3,16,150,240,4
202110604,18,Femenino,3,Ingeniería Química,1500,Samsung,256,Android,5,48,120,420,5
202120653,18,Femenino,2,Ingeniería Civil,400,ZTE,64,Android,4,16,60,180,4
202110598,21,Masculino,3,Ingeniería Electrónica,400,Huawei,16,Android,2,12,100,240,4
202110484,19,Femenino,3,Ingeniería Civil,1020,Samsung,32,Android,5,16,105,1200,3
202120625,17,Femenino,2,Ciencias de la Computación,750,Samsung,32,Android,5,16,120,300,5
201920119,20,Femenino,4,Ingeniería Civil,600,Samsung,64,Android,2,16,60,720,5
202120138,18,Femenino,2,Bioingeniera,1200,Xiaomi,128,Android,5,64,60,720,4
