IngresoUniversidad,EstudiayTrabaja,Escala,Beca,PresupuestoS,CantidadAlmuerzos,PrecioMaxAlmuerzos,TipodeTransporte,GastoSemanalTransporte,PlanMovil,AsistenciaUniversidad,GastoExtra,PlanificacionGastosS,ConociminetoFinanciero,FrecuenciaAprendizajeFi,MedioInformacionFi,AhorroSemanal,Organizacion,NiveldeAdministraicon,CantidadTalleresFi,SatisfaccionPresupuestoS,GastoCubierto,EficienciaPlanificacion,GastoPlanMovil
2023-1,No,A,Becado,60,1,13,Bus,40,Soy postpago,6,Ahorra un poco,No,"Si conoce, no administra",Rara vez,Podcast,15,0,Regular,0,Sí,3,Poco eficiente,0
2023-1,No,C,No becado,100,3,12,Metropolitano o tren,78,Soy prepago,5,Ahorra todo,No,"Si conoce, no administra",Casi siempre,Tik Tok,50,0,Buena,0,Sí,2,Eficiente,0
2023-1,No,E,No becado,50,2,13,Bus,24,Soy postpago,6,Ahorra casi todo,Sí,"Si conoce, no administra",Rara vez,Tik Tok,10,1,Buena,0,Sí,5,"Ni eficiente, ni ineficiente",0
2022-2,No,D,Becado,400,4,13,Metropolitano o tren,22,Soy postpago,4,Ahorra casi todo,Sí,"Si conoce, si administra",Siempre,Otros,70,1,Excelente,0,Sí,4,Eficiente,0
2022-1,No,E,No becado,150,3,20,Metropolitano o tren,20,Soy postpago,4,No ahorra,Sí,"Si conoce, si administra",Siempre,Otros,40,0,Excelente,0,Sí,0,Muy eficiente,0
2022-1,Sí,C,No becado,70,2,14,Bus,13,Soy postpago,6,Ahorra un poco,Sí,"Si conoce, no administra",Rara vez,Otros,20,1,Excelente,2,Sí,2,"Ni eficiente, ni ineficiente",0
2019-2,No,E,No becado,200,6,13,Otros,0,Soy postpago,6,Ahorra casi todo,Sí,"No conoce, si administra",A veces,Podcast,50,2,Mala,1,Sí,5,Eficiente,0
2022-2,No,E,Becado,120,2,13,Metropolitano o tren,20,Soy postpago,4,Ahorra casi todo,Sí,"No conoce, si administra",A veces,Otros,20,0,Buena,0,Sí,2,Eficiente,0
2022-2,No,D,Becado,15,1,12,Metropolitano o tren,25,Soy prepago,5,Ahorra casi todo,Sí,"No conoce, si administra",Rara vez,Tik Tok,5,1,Buena,0,Sí,2,Eficiente,5
2020-2,No,E,Becado,150,6,10,Metropolitano o tren,30,Soy postpago,6,Ahorra un poco,Sí,"No conoce, si administra",A veces,Otros,25,1,Buena,0,Sí,2,Eficiente,0
