Sexo,Edad,Carrera,Ciclo,Comodidad,Herramienta,GastoMaxD,GastoMaxT,TiempoD,TiempoT,HerramientasD,HerramientasT,AprendizajeD,AprendizajeT,Importancia
Femenino,20,Ing. Ambiental,4,Tradicional,Cuaderno,3000,30,4,10,2,3,3,5,Totalmente de acuerdo
Masculino,21,Ing. Ambiental,4,Tradicional,Cuaderno,0,20,6,10,2,3,2,3,Totalmente de acuerdo
Masculino,18,Ing. Mecatrónica,4,Digital,Tablet,6000,50,7.5,0.5,4,4,4,5,Totalmente de acuerdo
Masculino,18,Ing. Civil,3,Tradicional,Celular,2500,100,5,2,3,4,4,4,De acuerdo
Masculino,17,Ing. Mecatrónica,3,Digital,Laptop,1000,10,8,2,4,4,4,3,De acuerdo
Femenino,18,Ing. Industrial,4,Tradicional,Bloc de Notas,4000,50,8,2,2,4,5,5,Indeciso
Femenino,20,Ing. Química,4,Tradicional,Cuaderno,2500,100,8,2,2,4,2,5,Totalmente de acuerdo
Masculino,20,Ing. Civil,4,Tradicional,Cuaderno,3000,15,6,3,2,4,4,5,Totalmente de acuerdo
Femenino,19,Ing. Ambiental,4,Tradicional,Laptop,3200,50,6.42,3.33,2,4,4,3,Indeciso
Masculino,19,Ing. Civil,4,Tradicional,Laptop,0,0,6.58,3.67,3,4,3,1,Totalmente de acuerdo
Masculino,17,Ing. Civil,3,Tradicional,Bloc de Notas,800,20,5,4,3,4,4,4,Indeciso
Masculino,18,Ing. Mecánica,3,Tradicional,Laptop,10000,10,4.83,4.5,2,4,3,3,Totalmente de acuerdo
Masculino,18,Ing. Civil,4,Tradicional,Cuaderno,3700,18,1,5,2,4,3,5,Totalmente de acuerdo
Femenino,19,Ing. Civil,4,Tradicional,Cuaderno,1500,50,2,5,4,4,4,4,Indeciso
Femenino,20,Ing. Civil,4,Tradicional,Celular,3600,50,3,5,3,4,4,4,De acuerdo
Femenino,19,Ing. Ambiental,4,Tradicional,Cuaderno,2000,14,7,5,2,4,4,3,Indeciso
Masculino,19,Ing. Mecatrónica,4,Tradicional,Cuaderno,5000,150,7,5,2,4,4,5,De acuerdo
Femenino,19,Ing. Industrial,4,Tradicional,Cuaderno,3000,100,8,5,2,4,2,5,Indeciso
Masculino,22,Ing. Civil,4,Tradicional,Cuaderno,2500,50,6,5.5,0,4,4,5,De acuerdo
Femenino,21,Ing. Química,4,Digital,Cuaderno,1100,30,12,6,2,4,4,5,Indeciso
Femenino,19,Ing. Industrial,4,Digital,Tablet,0,100,3.83,7.5,2,4,3,3,Totalmente en desacuerdo
Femenino,21,Ing. Industrial,4,Tradicional,Cuaderno,1300,15,5,8,3,4,2,5,De acuerdo
