CODIGO ESTACION,ESTACION,ANO,MES,DIA,HORA,PM10,PM2.5,SO2,NO2,O3,CO
112192,ATE,2015,12,4,15,88.23,9.1,20.9,13.6,36.3,1641
112192,ATE,2015,12,4,16,84.89,28.1,20.9,11.8,31.7,1571.1
112192,ATE,2015,12,4,17,96.74,26.3,12.8,11.4,21.9,1618.7
112192,ATE,2015,12,4,18,110.06,15.4,4.7,18.8,12.5,1782.2
112192,ATE,2015,12,4,19,119.12,20.1,3.8,15.8,6.9,1842.6
112192,ATE,2015,12,4,20,107.41,21.3,4.8,9.8,5.5,1723.7
112192,ATE,2015,12,4,21,117.99,25.9,3.3,12.7,5.5,1788.9
112192,ATE,2015,12,4,22,150.43,31.8,6.2,16.3,5.4,2031.2
112192,ATE,2015,12,4,23,126.01,29.7,6,14.1,5.7,1979.7
112192,ATE,2015,12,5,0,140.64,31.2,6,13.8,5.3,2056.9
112192,ATE,2015,12,5,1,128.82,43.4,9.5,9.5,5,1955.9
112192,ATE,2015,12,5,2,122.29,43.1,8.1,8.6,5.4,1804.3
112192,ATE,2015,12,5,3,138.27,44.5,9.7,9.9,5.3,1895
112192,ATE,2015,12,5,4,149.88,53.2,6.8,12.2,5.6,1871
112192,ATE,2015,12,5,5,128.02,51.8,5.6,11.5,5.1,1779.9
112192,ATE,2015,12,5,6,137.96,53.3,5,11.7,5.4,1767.1
112192,ATE,2015,12,5,7,130.93,56,2.8,16.1,5.8,1828.4
112192,ATE,2015,12,5,8,106.97,48.5,3,14.9,7.3,1841.8
112192,ATE,2015,12,5,9,116.69,47.6,3.5,21.3,9,1930
112192,ATE,2015,12,5,10,119.65,43.3,2,26.8,11.9,2064.9
112192,ATE,2015,12,5,11,132.22,54.4,0.9,31.8,23.4,1903.4
112192,ATE,2015,12,5,12,122,47.8,2.6,40.2,26.1,1933.5
112192,ATE,2015,12,5,13,130.57,44.6,2.8,36.7,45,1805
112192,ATE,2015,12,5,14,124.24,33.6,3.1,26.4,67.4,1634.3
112192,ATE,2015,12,5,15,132.79,33,7.6,26.6,64.8,1621.4
112192,ATE,2015,12,5,16,107.99,28.4,11.2,17.9,42.8,1571.2
112192,ATE,2015,12,5,17,98.05,18.1,15.2,20.2,30.9,1618
112192,ATE,2015,12,5,18,90.72,13.9,9.8,15.8,15.6,1657.4
112192,ATE,2015,12,5,19,95.19,12,8,24.3,6.4,1840.5
112192,ATE,2015,12,5,20,102.3,12.2,13.3,23.5,5.5,2010.3
112192,ATE,2015,12,5,21,101.64,12.9,11.3,20.1,5.4,2079.1
112192,ATE,2015,12,5,22,130.11,13.8,13.2,22.5,5.8,2153.1
112192,ATE,2015,12,5,23,144.16,23.7,15.1,19.2,5.6,2405.2
112192,ATE,2015,12,6,0,125.43,23.4,14.4,20.3,5.7,2653.2
112192,ATE,2015,12,6,1,156.37,29.6,16,20.4,6.4,2781.6
112192,ATE,2015,12,6,2,126.52,33,12.4,17.9,5.1,2823.7
112192,ATE,2015,12,6,3,121.45,34.8,4.9,16,5.3,2376.5
