"","Edad","Carrera","Ciclo","DProcedencia","CAVerdes","CADiscapacidad","CALugarCentrico","CAMasLugaresEstudio","CADeportivas","Escala","CEconomica","GDiarioTransporte","CantTransportes","TVivienda","DSede","DResidencia"
"25",20,"Bioingeniería",3,"Lima Metropolitana o Callao",2,4,3,5,5,"C","Regular (sin apoyo alguno)",50,1,"Casa propia","jesús maría","san isidro"
"26",21,"Ciencias de la computación",4,"Lima Metropolitana o Callao",5,3,4,4,5,"E","Regular (sin apoyo alguno)",7,2,"Alquilado (compartido)","pueblo libre","breña"
"27",23,"Ing. Industrial",10,"Lima Metropolitana o Callao",3,5,2,5,3,"E","Regular (sin apoyo alguno)",3,1,"Alquilado (compartido)","pueblo libre","lince"
"28",23,"Ing. Industrial",10,"Lima Metropolitana o Callao",3,4,3,3,2,"D","Regular (sin apoyo alguno)",3,1,"Casa propia","jesús maría","jesús maría"
"29",17,"Bioingeniería",3,"Provincia",3,5,5,5,5,"D","Regular (sin apoyo alguno)",12,1,"Casa propia","san isidro","lince"
"30",18,"Ing. Mecatrónica",5,"Lima Metropolitana o Callao",4,4,4,5,5,"C","Regular (sin apoyo alguno)",50,1,"Casa propia","san isidro","callao"
"31",20,"Ing. Mecatrónica",7,"Provincia",5,3,5,5,5,"D","Regular (sin apoyo alguno)",0,1,"Casa propia","san isidro","santiago de surco"
"32",21,"Ing. Industrial",7,"Lima Metropolitana o Callao",4,4,4,5,3,"D","Becado (beca 18, beca utec, etc.)",5,1,"Casa propia","jesús maría","san martin de porres"
"33",20,"Ing. Industrial",7,"Lima Metropolitana o Callao",4,4,4,5,2,"A","Regular (sin apoyo alguno)",3,1,"Casa propia","san isidro","chorrillos"
"34",19,"Ing. Industrial",4,"Lima Metropolitana o Callao",4,3,3,5,4,"D","Regular (sin apoyo alguno)",20,2,"Casa propia","san isidro","los olivos"
"35",20,"Ing. Química",4,"Provincia",5,5,1,3,5,"C","Becado (beca 18, beca utec, etc.)",2,1,"Alquilado (solo)","san isidro","chorrillos"
