Nombre de los paises,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Irlanda,,,,1,2,2,4,3,4,7,6,4,4,4,4,3,2,2,2,3,3,2,2,2,2,2,2,1,3,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Irán, República Islámica del",,,,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,,,,3,2,,3,3,3,3,3,3,,
Iraq,,,,0,,,,,,,,,1,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,
Islandia,,,0,0,0,0,0,0,1,7,15,8,18,18,16,12,18,16,14,14,13,10,11,19,16,11,10,10,12,14,11,9,10,9,11,12,11,13,14,16,19,21,19,19,19,19,24,27,40,35,42,40,38,38,39,40,36,42,41,35,36
Israel,,,2,4,4,4,5,4,4,4,4,2,2,2,3,2,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Italia,,,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Jamaica,,,49,42,,,,,,,,,25,24,21,16,21,22,20,27,21,18,19,16,25,15,16,17,,,,62,55,50,52,51,51,54,54,57,59,62,66,67,68,70,64,64,58,37,44,49,39,46,50,56,50,50,62,55,
Jordania,,,,,35,33,33,32,36,31,24,26,28,30,50,50,40,31,32,33,40,33,32,33,33,38,43,36,,42,38,38,34,27,25,24,,28,27,26,23,19,17,16,14,77,13,7,11,9,8,12,11,7,8,9,9,8,8,7,
Japón,,,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,2,2,2,3,2,3
Kazajstán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,20,23,26,21,2,20,18,14,15,14,16,15,12,12,12,13,13,10,9,13,16,16,12,14,
Kenya,,,,,,,,,,,,,,,,,1,1,1,1,2,4,2,2,2,2,2,3,,,3,3,2,3,3,3,3,3,3,3,3,4,2,3,6,2,2,3,3,2,2,,,2,,4,4,5,6,5,
Kirguistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,,3,6,7,3,4,3,4,4,4,4,3,2,2,3,6,3,4,3,7,12,15,14,
Camboya,,,0,0,0,0,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,
Kiribati,,,,,,,,,,,,,,89,79,96,95,86,88,85,,,,,,,,2,,0,0,0,0,0,0,0,,0,0,,,,,,,2,,1,1,0,,,0,,1,1,1,,,,
Saint Kitts y Nevis,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,,,
"Corea, República de",,,24,16,17,14,11,9,7,6,6,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Kuwait,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,
