"","Edad","Género","Carrera","Ciclo","Litros_por_dia","Litros_clase","Sed_clase","Agua_clase","Gaseosas_clase","Bebidas_energeticas_clase","Infusiones_clase","Cansado_tipo_liquido","Liquido_mejora_rendimiento","Rendimiento_hidratado","Concentracion_clase","Memoria","Deshidratacion_efectos","Salud_fisica","Migrañas","Fatiga","Salud_mental","Ansiedad","Estres","CF_no_ingesta_liquido","Peso","Estatura","Horas_en_universidad","Cantidad_cursos","Agua","Bebidas energizantes","Gaseosas","Infusiones","Otro","Refrescos o jugos"
"115",20,"Masculino","Ciencia de la computación","Quinto",3,0.1,"Poca","Siempre","A veces","Casi nunca","A veces","Bebidas energizantes","Bebidas energizantes","Tal vez","Siempre","Ni buena ni mala","Si","Medianamente saludable","Nunca","Siempre","Muy mala","Sí","Sí","A veces",67,1.73,30,5,"Sí","Sí","Sí","Sí","No","Sí"
"116",18,"Masculino","Ingeniería civil","Segundo",2,0.5,"Ni mucha ni poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","Sí","A veces","Buena","Si","Muy saludable","Nunca","A veces","Muy buena","No","Sí","Si",85,1.77,20,7,"Sí","No","Sí","Sí","No","No"
"117",18,"Femenino","Ciencia de datos","Tercero",1.5,1,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","A veces","Refrescos o jugos","Agua","Sí","A veces","Muy mala","Si","Medianamente saludable","Casi nunca","A veces","Ni buena ni mala","Sí","Sí","No",69,1.57,46,5,"Sí","No","No","Sí","No","Sí"
"118",20,"Masculino","Ingeniería mecatrónica","Segundo",1.5,0.5,"Mucha","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Agua","Agua","Sí","A veces","Ni buena ni mala","No","Poco saludable","Casi nunca","Casi nunca","Mala","Sí","Sí","Si",60,1.6,20,6,"Sí","No","No","No","No","No"
"119",26,"Masculino","Ingeniería química","Séptimo",5,2,"Ni mucha ni poca","A veces","A veces","A veces","A veces","Agua","Infusiones","Sí","Casi nunca","Ni buena ni mala","Tal vez","Medianamente saludable","A veces","A veces","Ni buena ni mala","No","No","No",75,1.72,27,4,"Sí","No","Sí","Sí","No","Sí"
"120",18,"Femenino","Ciencia de datos","Tercero",1.5,0.7,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","Casi nunca","Infusiones","Agua","Sí","A veces","Buena","Si","Medianamente saludable","Casi nunca","Siempre","Mala","Sí","Sí","Si",70,1.65,40,5,"Sí","No","No","Sí","No","No"
"121",19,"Masculino","Bioingeniería","Tercero",4,0.5,"Poca","Casi nunca","Nunca","Nunca","A veces","Infusiones","Infusiones","Tal vez","A veces","Ni buena ni mala","Si","Saludable","Nunca","Siempre","Mala","Sí","Sí","No",68,1.83,18,4,"Sí","No","Sí","Sí","Sí","Sí"
"122",17,"Masculino","Ingeniería industrial","Segundo",1,0.5,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","Nunca","Otro","Agua","Sí","A veces","Buena","Si","Saludable","Casi nunca","Nunca","Buena","No","No","A veces",71,1.7,28,7,"Sí","No","No","No","No","No"
"123",20,"Masculino","Ingeniería mecatrónica","Segundo",3,1,"Poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","No","Casi siempre","Buena","Si","Medianamente saludable","Casi nunca","Casi siempre","Ni buena ni mala","Sí","Sí","Si",65,1.65,55,6,"Sí","No","No","No","No","No"
"124",18,"Masculino","Bioingeniería","Tercero",1,0.25,"Poca","Casi nunca","Nunca","Nunca","Nunca","Refrescos o jugos","Refrescos o jugos","Sí","Casi siempre","Buena","Si","Medianamente saludable","Nunca","Casi nunca","Buena","No","Sí","A veces",55,1.67,17,5,"No","No","No","No","No","Sí"
"125",17,"Femenino","Ingeniería civil","Segundo",3,3,"Mucha","Casi siempre","Casi nunca","Nunca","Nunca","Agua","Agua","No","A veces","Buena","Si","Medianamente saludable","Siempre","Casi siempre","Mala","Sí","Sí","Si",64,1.6,12,6,"Sí","No","No","No","No","Sí"
"126",20,"Masculino","Ingeniería electrónica","Segundo",3,0.5,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","No","Casi siempre","Ni buena ni mala","No","Saludable","Casi nunca","Casi nunca","Ni buena ni mala","No","No","A veces",60,1.59,30,6,"Sí","No","No","No","No","No"
"127",17,"Masculino","Ingeniería electrónica","Tercero",2.5,0.675,"Mucha","Casi siempre","Nunca","Nunca","Nunca","Agua","Refrescos o jugos","Sí","Siempre","Muy buena","Si","Muy saludable","Nunca","Casi siempre","Muy buena","No","No","No",84,1.9,24,5,"Sí","Sí","Sí","Sí","No","No"
"128",19,"Masculino","Ciencia de la computación","Tercero",2,0.25,"Poca","A veces","Casi nunca","Nunca","Nunca","Otro","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Saludable","Nunca","Casi nunca","Buena","No","No","Si",70,1.72,17,4,"Sí","No","Sí","No","No","Sí"
"129",19,"Masculino","Ciencia de la computación","Cuarto",0.5,0.5,"Mucha","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Muy saludable","Casi nunca","Casi nunca","Muy buena","No","No","A veces",66.5,1.7,48,5,"Sí","No","No","No","No","No"
"130",20,"Masculino","Ingeniería química","Cuarto",3,0.5,"Muy poca","Nunca","Nunca","Nunca","Nunca","Agua","Infusiones","Tal vez","Casi siempre","Buena","Tal vez","Saludable","Nunca","Casi nunca","Buena","No","Sí","A veces",65,1.65,20,6,"Sí","No","No","No","No","Sí"
"131",18,"Masculino","Ingeniería mecánica","Primero",2,1,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","Nunca","Agua","Bebidas energizantes","Sí","Casi siempre","Ni buena ni mala","Si","Saludable","Nunca","Casi nunca","Buena","No","No","A veces",50,1.6,15,5,"Sí","Sí","No","No","No","No"
"132",22,"Masculino","Ingeniería mecánica","Segundo",3,2,"Mucha","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","Siempre","Muy buena","Si","Muy saludable","Nunca","Nunca","Muy buena","No","No","A veces",65,1.69,32,6,"Sí","No","No","No","No","No"
"133",20,"Masculino","Ingeniería mecánica","Segundo",3,3,"Mucha","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Bebidas energizantes","Bebidas energizantes","Sí","Casi siempre","Buena","Si","Saludable","Casi siempre","Casi siempre","Buena","Sí","Sí","Si",63,1.65,20,6,"Sí","No","No","No","No","Sí"
"134",21,"Masculino","Ingeniería mecánica","Segundo",3,1,"Mucha","Casi siempre","Casi nunca","A veces","Nunca","Agua","Bebidas energizantes","Tal vez","Casi nunca","Mala","Si","Saludable","Casi nunca","Casi nunca","Muy buena","No","No","A veces",77,1.81,32,6,"Sí","No","No","No","No","No"
"135",18,"Masculino","Ingeniería mecánica","Segundo",3,1.5,"Poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Saludable","A veces","A veces","Buena","No","Sí","Si",69,1.79,18,5,"Sí","No","No","No","No","No"
"136",19,"Masculino","Ingeniería mecatrónica","Cuarto",2,1,"Poca","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Saludable","Nunca","Nunca","Buena","No","No","No",72,1.72,30,6,"Sí","No","Sí","No","No","Sí"
"137",18,"Masculino","Ciencia de la computación","Tercero",2.5,2,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","A veces","Mala","Si","Medianamente saludable","Casi nunca","Casi siempre","Buena","No","No","Si",85,1.72,17,5,"Sí","No","No","Sí","No","No"
"138",20,"Masculino","Ingeniería mecánica","Séptimo",3,0.1,"Mucha","Siempre","Casi nunca","Nunca","Nunca","Agua","Agua","Sí","A veces","Mala","Si","Medianamente saludable","Nunca","Casi nunca","Ni buena ni mala","Sí","No","No",70,1.72,59,4,"Sí","No","No","No","No","No"
"139",18,"Femenino","Ingeniería mecánica","Segundo",0.5,0.25,"Ni mucha ni poca","Casi nunca","Casi siempre","Casi siempre","Nunca","Gaseosas","Bebidas energizantes","Sí","Casi nunca","Muy mala","Si","Medianamente saludable","Casi nunca","A veces","Ni buena ni mala","Sí","Sí","A veces",54,1.65,20,5,"Sí","Sí","Sí","No","No","No"
"140",18,"Femenino","Ingeniería ambiental","Segundo",1.5,0.5,"Mucha","A veces","Nunca","Nunca","Nunca","Refrescos o jugos","Bebidas energizantes","No","Casi siempre","Buena","Si","Medianamente saludable","A veces","A veces","Mala","Sí","No","A veces",60,1.5,26,6,"Sí","No","No","Sí","No","Sí"
"141",23,"Masculino","Ingeniería mecánica","Décimo",2,0.5,"Ni mucha ni poca","Casi siempre","Nunca","A veces","Nunca","Agua","Bebidas energizantes","No","Casi nunca","Muy buena","No","Poco saludable","A veces","Nunca","Mala","Sí","No","No",100,1.8,24,3,"Sí","Sí","Sí","Sí","No","Sí"
