Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
551599,Tejidos de fibras sintéticas discontinuas; con un alto contenido de fibras sintéticas discontinuas; ...,14,5,16,5,4,4,16,4,10,10,48,256,121,57,505,118,147,171,254,153
630499,Artículos de moblaje de materia textil (exc. de algodón; de fibras sintéticas y de punto; así ...,16,67,14,81,34,65,62,49,45,38,85,60,67,237,422,69,241,275,94,153
491191,Estampas; grabados y fotografías; n.c.o.p.,515,83,250,175,588,143,167,157,1773,218,321,245,1771,441,170,62,146,152,62,152
853340,Resistencias variables; incl. los reóstatos y los potenciómetros (exc. bobinadas; así como ...,25,38,30,65,33,97,99,68,91,70,68,102,127,96,183,214,208,117,87,152
392073,Placas; láminas; hojas y tiras; de acetato de celulosa no celular y sin esfuerzo; estratificación ...,5,10,5,5,3,5,2,12,2,2,2,4,5,9,8,6,14,23,48,152
860799,Partes de los vehículos para vías férreas de las partidas 8603; 8604; 8605 u 8606; n.c.o.p.,2,43,96,43,16,154,165,112,77,278,2,1,0,0,114,0,0,0,60,150
620791,Camisetas interiores; albornoces de baño; batas de casa y artículos simil.; de algodón; para ...,114,183,177,1170,198,257,241,222,513,495,466,173,161,146,183,109,280,139,263,150
130190,Laca; gomas naturales; resinas; gomorresinas; bálsamos y otras oleorresinas naturales (exc. ...,713,579,426,509,503,470,484,377,293,492,1070,1049,783,373,391,171,189,206,178,150
910119,"""Relojes de pulsera; eléctricos; incl. con contador de tiempo incorporado; de metal precioso ...",40,37,66,153,409,161,138,60,134,162,169,64,249,98,42,157,145,296,260,150
830621,Estatuillas y demás artículos de adorno; de metal común; plateados; dorados o platinados (exc. ...,42,156,81,130,132,237,204,146,176,220,179,184,148,176,115,132,160,173,140,149
293930,Cafeína y sus sales,0,0,1,2,7,27,28,12,11,17,22,18,10,17,8,8,41,13,135,149
292250,Amino-alcoholes-fenoles; aminoácidos-fenoles y demás compuestos aminados con funciones oxigenadas ...,56,66,138,711,635,405,451,429,757,77,72,96,37,112,42,58,41,61,98,149
