Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
291735,Anhídrido ftálico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
291739,Ácidos policarboxílicos aromáticos; sus anhídridos; halogenuros; peróxidos; peroxiácidos y ...,0,17,0,0,0,0,0,0,0,0,0,52,0,0,0,0,199,0,0,0
291619,Ácidos monocarboxílicos acíclicos; sus anhídridos; halogenuros; peróxidos; peroxiácidos y sus ...,1,1,7,0,19,0,2,0,0,0,1,1,0,0,1,0,0,0,13,0
291620,Ácidos monocarboxílicos ciclánicos; ciclénicos o cicloterpénicos; sus anhídridos; halogenuros; ...,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291631,Ácido benzoico; sus sales y sus ésteres (exc. compuestos inorgánicos u orgánicos de mercurio),0,0,0,0,1,0,0,1,0,3383,504,39,0,0,1,4,0,0,0,0
291639,Ácidos monocarboxílicos aromáticos; sus anhídridos; halogenuros; peróxidos; peroxiácidos y ...,0,0,1,4,10,0,0,0,0,0,1,0,0,0,0,59,0,10,0,0
291711,Ácido oxálico; sus sales y sus ésteres (exc. compuestos inorgánicos u orgánicos de mercurio),0,0,0,0,0,0,0,0,7,0,495,0,0,0,0,0,0,0,0,0
291712,Ácido adípico y sus sales y ésteres,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1,0,0
291713,Ácido azelaico; ácido sebácico; sus sales y sus ésteres,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
291714,Anhídrido maleico,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
291823,Ésteres del ácido salicílico y sus sales,23,23,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291829,Ácidos carboxílicos con función fenol; pero sin otra función oxigenada; sus anhídridos; halogenuros; ...,0,0,0,0,0,0,0,1,7,0,2763,34,5,1,0,0,0,0,0,0
291830,Ácidos carboxílicos con función aldehído o cetona; pero sin otra función oxigenada; sus anhídridos; ...,7,1,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
291890,Ácidos carboxílicos con funciones oxigenadas suplementarias y sus anhídridos; halogenuros; ...,8,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291899,Ácido carboxilico con función de oxigeno adicional y sus anidridos; halidos; peroxidos y peroxácidos; ...,0,0,0,0,0,0,2,0,0,58,81,13,9,59,24,0,0,16,0,0
291900,Ésteres fosfóricos y sus sales; incl. los lactofosfatos; sus derivados halogenados; sulfonados; ...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291990,"""Ésteres fóricos y sus sales; inclu. lactofosfatos; sus halogenados; sulfatos; nitratos y derivados ...",0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0
292090,"""Ésteres de ácidos inorgánicos de los no metales y sus sales; sus derivados halogenados; sulfonados; ...",0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0
292111,Mono-; di- o trimetilamina y sus sales,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,8,0,0,0,0
292119,Monoaminas acíclicas y sus derivados; sales de estos productos (exc. mono-; di- o trimetilamina; ...,0,0,0,0,0,0,32,0,0,9,0,0,65,4,0,21,10,0,0,0
292121,Etilendiamina y sus sales,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,3,0,0,0
292129,Poliaminas acíclicas y sus derivados; sales de estos productos (exc. etilendiamina; hexametilendiamina ...,56,10,8,1,12,6,0,0,0,0,1,47,20,0,17,0,0,0,0,0
292130,Monoaminas y poliaminas; ciclánicas; ciclénicas o cicloterpénicas; y sus derivados; sales de ...,0,0,0,0,0,0,0,0,0,299,0,0,4,0,0,0,0,21,0,0
292141,Anilina y sus sales (exc. compuestos inorgánicos u orgánicos de mercurio),0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
292149,"""Monoaminas aromáticas y sus derivados; sales de estos productos (exc. anilina; toluidinas; ...",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
292151,O-; m- y p-Fenilendiamina; diaminotoluenos y sus derivados; sales de estos productos,0,0,0,3,0,0,0,0,0,4,0,3,0,0,1,1,2,5,0,0
292159,Poliaminas aromáticas y sus derivados; sales de estos productos (exc. o-; m- y p-fenilendiamina; ...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0
292211,Monoetanolamina y sus sales,0,0,56,0,0,0,22,0,0,0,0,0,5,0,1,12,0,0,0,0
292212,Dietanolamina y sus sales,0,0,0,0,0,0,0,0,0,0,0,0,25,35,26,0,0,0,0,0
292213,Trietanolamina y sus sales,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293100,Los demás compuestos órgano-inorgánicos,0,0,1,5,4,0,74,47,89,38,0,0,0,0,0,0,0,0,0,0
292421,Ureínas y sus derivados; sales de estos productos,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
293219,"""Compuestos heterocíclicos con heteroátomo/s de oxígeno exclusivamente; cuya estructura contenga ...",0,0,0,0,0,164,0,0,20,2,0,0,0,0,0,14,0,0,0,0
293220,Lactonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
293229,Compuestos heterocíclicos con heteroátomo(s) de oxígeno exclusivamente : Lactonas : Las demás ...,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0
293311,"""Fenazona """"antipirina"""" y sus derivados""",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
293319,"""Compuestos heterocíclicos con heteroátomo/s de nitrógeno exclusivamente; cuya estructura contenga ...",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
293321,Hidantoína y sus derivados,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
