Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
851999,"""Reproductores de sonido; sin dispositivo de grabación incorporado (exc. tocadiscos que funcionen ...",76,613,74,312,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852032,Aparatos de grabación y reproducción de sonido; en cinta magnética; digitales (exc. aparatos ...,0,0,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852033,Aparatos de grabación y reproducción de sonido; de casete (exc. digitales),1,161,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852039,Aparatos de grabación y reproducción de sonido; en cinta magnética (exc. digitales; así como ...,1,1,1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852090,Aparatos de grabación de sonido; incl. con dispositivo de reproducción de sonido incorporado ...,608,233,235,686,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852110,"""Aparatos de grabación o reproducción de imagen y sonido """"vídeos""""; de cinta magnética; incl. ...",2131,1466,1355,434,183,29,2,33,42,111,81,72,4,0,3,39,69,3,14,0
852311,Cintas magnéticas; sin grabar; de anchura <= 4 mm,276,225,29,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852312,Cintas magnéticas; sin grabar; de anchura > 4 mm pero <= 6;5 mm,5,3,0,69,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852313,Cintas magnéticas; sin grabar; de anchura > 6;5 mm,829,1414,1034,303,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852320,Discos magnéticos; sin grabar,141,219,5,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852330,Tarjetas con tira magnética incorporada; sin grabar,504,408,1125,2026,2577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852340,Discos; cintas; dispositivos de almacenamiento permanente de datos a base de semiconductores; ...,0,0,0,0,0,16083,19365,13548,9028,8486,0,0,0,0,0,0,0,0,0,0
852210,Cápsulas fonocaptoras,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852390,Soportes preparados para grabar sonido o para grabaciones simil.; sin grabar (exc. bandas magnéticas; ...,65,11,9,147,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852410,Discos para tocadiscos,80,9,61,91,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852431,Discos para sistemas de lectura por rayos láser; para reproducir fenómenos distintos del sonido ...,1564,6651,5859,7162,5166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852432,Discos para sistemas de lectura por rayos láser; para reproducir únicamente sonido,3855,3515,2650,6561,6579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852439,Discos para sistemas de lectura por rayos láser; para reproducir sonido e imagen o únicamente ...,3732,3884,6239,8091,9797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852440,Cintas magnéticas; grabadas; para reproducir fenómenos distintos del sonido o imagen,58,68,49,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852451,Cintas magnéticas; grabadas; para reproducir el sonido o imagen; de anchura <= 4 mm,19,15,7,26,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852452,Cintas magnéticas; grabadas; para reproducir el sonido o imagen; de anchura > 4 mm pero <= ...,0,21,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852453,Cintas magnéticas; grabadas; para reproducir el sonido o imagen; de anchura > 6;5 mm,136,39,9,359,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852460,Tarjetas con tira magnética incorporada; grabadas,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852491,Soportes para reproducir fenómenos distintos del sonido o imagen; grabados (exc. discos para ...,18,78,14,22,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852499,Soportes para reproducir el sonido o imagen; grabados; incl. las matrices y moldes galvánicos ...,1116,67,48,143,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852510,Aparatos emisores de radiotelefonía; radiotelegrafía; radiodifusión o televisión,1602,1007,1592,1981,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852520,Aparatos emisores con aparato receptor incorporado; de radiotelefonía; radiotelegrafía; radiodifusión ...,1225239,1192604,880465,2552513,2809761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852530,Cámaras de televisión (exc. videocámaras),131,146,16,228,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852540,Videocámaras; incl. las de imagen fija; cámaras digitales,296,988,273,609,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851780,Aparatos eléctricos; para telefonía o telegrafía con hilos (exc. teléfonos; videófonos; telefax; ...,481,132,138,280,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851790,Partes de aparatos eléctricos de telefonía o telegrafía con hilos; incl. los teléfonos de usuario ...,61672,59814,80530,84095,70451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851719,Teléfonos para telefonía con hilos; videófonos (exc. interfonos; así como teléfonos de usuario ...,4053,3738,8643,10357,4883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851721,Telefax para telefonía con hilos,0,2,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851730,Aparatos de conmutación para telefonía o telegrafía con hilos,13794,19516,86190,48953,54167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851750,Aparatos emisores y receptores de telecomunicación por corriente portadora o telecomunicación ...,9466,12833,9685,16669,37163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851910,Tocadiscos que funcionen por fichas o monedas,0,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851920,Grabador o reproductor de sonidos; operativo con monedas; targetas y otro tipo de pago,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,86,0,0,0
851929,"""Tocadiscos con altavoces """"altoparlantes"""" (exc. que funcionen por fichas o monedas)""",10,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851930,Giradiscos,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0
851939,Giradiscos sin cambiador automático de discos,1,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851940,Aparatos para reproducir dictados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851950,Contestadores telefónicos,0,0,0,0,0,0,0,2,24,17,12,0,0,0,0,0,0,0,0,0
854040,Tubos de visualización gráfica y de datos; de color; con un paso de la pantalla de los puntos ...,24,11,1,54,82,189,75,2,0,0,1,0,0,0,0,0,0,0,0,0
854050,Lámparas; tubos y válvulas electrónicos; de cátodo caliente; cátodo frío o fotocátodo (por ...,0,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
854060,Tubos catódicos (exc. tubos catódicos para aparatos receptores de televisión y videomonitores; ...,5,1,19,15,1,77,3,2,0,1,0,46,0,15,5,35,0,9,10,0
854011,Tubos catódicos para aparatos receptores de televisión; incl. para videomonitores; en colores,102902,121657,109398,74037,43974,10760,2749,44,475,91,1,0,1,0,37,0,245,122,0,0
854012,Tubos catódicos para aparatos receptores de televisión; incl. para videomonitores; en blanco ...,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854091,Partes de tubos catódicos; n.c.o.p.,56835,45821,45268,29319,17872,974,333,220,6,238,1,7,51,66,17,68,2,0,0,0
854072,Lámparas; tubos y válvulas electrónicos; de cátodo caliente; cátodo frío o fotocátodo (por ...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854210,"""Tarjetas provistas de un circuito integrado electrónico [""""tarjetas inteligentes"""" """"smart ...",995,2602,6312,18593,38665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854212,Tarjetas provistas de circuitos integrados electronicos (tarjetas inte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854213,Semiconductores de oxido metalico (tecnologia mos),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854214,Circuitos de tecnologia bipolar.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854219,Los demas circuitos integrados monoliticos.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854221,"""Circuitos integrados monolíticos; digitales (exc. tarjetas provistas de un circuito integrado ...",40397,22033,26597,23047,24026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854229,Circuitos integrados monolíticos; analógicos o analógico/digitales,16371,8150,9206,9421,10948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854230,Los demas circuitos integrados monoliticos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854319,Aceleradores de escamillas; para electrones; protones; etc.; eléctricos (exc. aparatos de implantación ...,0,0,0,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854240,Circuitos integrados hibridos.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854250,Microestructuras electronicas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854260,Circuitos integrados; híbridos,1590,429,1116,540,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854270,Microestructuras electrónicas; realizadas con componentes discretos activos o activos y pasivos; ...,1379,933,992,692,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854340,Electrificadores de cercas,5,73,108,373,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854381,Tarjetas y etiquetas de activación por proximidad; constituidas por un circuito integrado de ...,296,380,224,210,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854389,Máquinas y aparatos eléctricos; con función propia; no expresados ni comprendidos en otra parte ...,5834,7335,15622,31097,19795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852712,"""Radiocasetes de bolsillo """"dimensiones <= 170 mm x 100 mm x 45 mm""""; con amplificador incorporado; ...",0,2,0,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0
852731,Aparatos receptores de radiodifusión; que solo funcionen conectados a la red; incl. los que ...,8058,3427,6607,3474,3309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852739,Aparatos receptores de radiodifusión; que solo funcionen conectados a la red; incl. los que ...,104,345,36,1524,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
